date,close,volume,open,high,low
3/28/2013,58.51,1436742,57.12,58.55,57.0001
4/1/2013,57.02,1095631,58.65,58.65,56.98
4/2/2013,57.16,839721,57.21,57.61,56.94
4/3/2013,56.07,1268233,57.42,57.42,55.9
4/4/2013,51.89,17965140,56,56,50.4
4/5/2013,53.35,4333438,51.9,53.46,51.5
4/8/2013,53.3,1876896,53.22,53.5875,52.72
4/9/2013,54.02,1488037,53.24,54.23,53.23
4/10/2013,56.26,3267071,54.09,56.51,54.09
4/11/2013,55.41,1922135,56.27,56.32,55.29
4/12/2013,55.2,1491140,55.09,55.66,54.36
4/15/2013,53.88,1447901,55.02,55.17,53.87
4/16/2013,54.93,950218,54.12,54.94,54.08
4/17/2013,52.71,2950516,53.21,53.89,52.565
4/18/2013,51.54,1939736,52.92,53.1,51.31
4/19/2013,50.35,2956809,51.53,51.53,50.27
4/22/2013,49.85,3280230,50.56,50.8,49.4357
4/23/2013,49.41,3259091,50.22,50.48,49.2
4/24/2013,49.86,2504372,49.48,50.67,49.44
4/25/2013,50.43,1949156,50.2,50.86,50
4/26/2013,52.09,3016721,50.65,52.64,50.65
4/29/2013,51.57,2580592,51.85,52.2,51.21
4/30/2013,51.07,2614606,51.22,51.79,50.645
5/1/2013,51.34,2034818,51.04,51.68,51.04
5/2/2013,53.06,3483485,51.52,53.74,51.2
5/3/2013,50.65,10055980,49.68,50.83,48.81
5/6/2013,51.96,3075001,50.77,51.97,50.61
5/7/2013,52.05,1870484,52.16,52.24,51.19
5/8/2013,54.08,2730934,52.05,54.14,51.8101
5/9/2013,55.1,2429340,54.11,55.26,54.06
5/10/2013,55.25,1621409,55.24,55.5,54.92
5/13/2013,53.85,2241796,55,55.1099,53.76
5/14/2013,53.47,3648556,53.96,54.21,53.4
5/15/2013,54.27,2094399,53.47,54.35,53.43
5/16/2013,56.57,3495253,54.52,56.93,54.37
5/17/2013,57.34,2334397,56.68,57.7,56.11
5/20/2013,56.61,1873912,56.86,57.34,56.52
5/21/2013,58.24,2689246,56.55,58.55,56.55
5/22/2013,56.17,3499050,57.89,58.22,55.92
5/23/2013,54.9,2558071,55.08,56.05,54.68
5/24/2013,54.4,983027,54.54,55.29,54.19
5/28/2013,54.46,1917621,54.79,55.14,54.29
5/29/2013,54.86,1450747,54.29,55.06,53.85
5/30/2013,57.1,2348001,55,57.23,55
5/31/2013,55.75,1633556,56.75,57.23,55.75
6/3/2013,55.6,2271475,55.76,55.76,53.86
6/4/2013,55.18,1294701,55.39,55.73,55.01
6/5/2013,54.79,1770249,55,55.5,54.63
6/6/2013,55.21,884222,54.84,55.53,54.74
6/7/2013,56.9,1171935,55.25,56.92,54.83
6/10/2013,57.33,1332045,57.26,57.68,56.9
6/11/2013,56.53,1545291,56.45,56.96,55.9
6/12/2013,55.86,1007278,57.1,57.18,55.67
6/13/2013,56.93,876696,55.66,57.1,55.41
6/14/2013,56.08,1078055,56.76,57.15,55.88
6/17/2013,55.46,1370822,55.8,56.48,55.14
6/18/2013,55.34,1462149,55.74,55.8,55.01
6/19/2013,55.3,1534798,55.31,56.06,55.21
6/20/2013,52.92,2704198,54.92,54.98,52.89
6/21/2013,50.7,3638809,53.14,53.14,50.53
6/24/2013,48.34,3963058,50.23,50.25,48.11
6/25/2013,48.5,2346209,48.77,49.3,48.33
6/26/2013,50.4,3176936,49.46,52.14,49.46
6/27/2013,51.11,2332614,50.58,51.5699,50.09
6/28/2013,50.23,2708722,50.81,50.99,49.49
7/1/2013,50.64,1413135,50.6,51.36,50.21
7/2/2013,50.02,1309531,50.7,50.74,49.58
7/3/2013,51.39,757211,49.76,51.52,49.76
7/5/2013,51.69,942357,51.56,51.83,50.85
7/8/2013,51.35,858060,52,52,51.25
7/9/2013,51.76,747585,51.49,52.39,51.48
7/10/2013,52.8,1365307,51.63,52.9,51.56
7/11/2013,56.17,3408417,53.84,56.35,53.64
7/12/2013,55.91,1856434,56.19,56.79,54.81
7/15/2013,57,1693256,56.1,57.165,55.38
7/16/2013,57.32,1879965,57.08,57.67,56.52
7/17/2013,57.49,989855,57.57,57.75,57.09
7/18/2013,59.25,1695885,57.76,59.4101,57.53
7/19/2013,58.08,1393630,58.97,59.66,57.95
7/22/2013,58.07,716408,58.17,58.46,57.72
7/23/2013,57.36,968507,57.6,57.91,56.86
7/24/2013,57.71,1326745,57.97,58.96,57.53
7/25/2013,59.59,1535359,57.62,59.89,57.37
7/26/2013,58.25,1554750,59.14,59.18,57.35
7/29/2013,58.56,1109081,58.29,59.29,58.2148
7/30/2013,58.73,1163769,59,59.04,58.4
7/31/2013,59.12,1736286,59,59.56,58.41
8/1/2013,63.17,4721301,61.65,65.96,61.65
8/2/2013,63.37,1361765,63.28,63.89,62.9
8/5/2013,64.7,1626977,63.05,64.87,63.04
8/6/2013,63.26,1890432,64.38,64.86,62.77
8/7/2013,63.16,1285367,63.29,63.4,62.11
8/8/2013,63.84,1091944,63.57,64.235,62.63
8/9/2013,63.76,751078,63.63,64.61,63.5601
8/12/2013,64.13,615203,63.67,64.31,63.55
8/13/2013,64.77,821111,64.42,64.8999,63.85
8/14/2013,64.17,1010180,64.74,64.8,63.87
8/15/2013,61.86,1581372,63.49,63.55,61.7249
8/16/2013,61.69,1005069,61.61,62.18,60.98
8/19/2013,60.6,1072933,61.52,62.08,60.59
8/20/2013,61,934144,60.72,61.16,60.4201
8/21/2013,59.5,1850898,60.75,61.34,59.38
8/22/2013,60.15,1370938,59.62,60.44,59.38
8/23/2013,60.94,1452141,60.47,61.34,60.14
8/26/2013,60.52,774609,60.85,61.38,60.36
8/27/2013,58.7,1342697,59.81,59.81,58.38
8/28/2013,58.92,931243,58.71,59.7,58.45
8/29/2013,59.87,916040,58.62,60.29,58.48
8/30/2013,58.56,1038125,59.95,59.95,58.34
9/3/2013,58.7,572341,59.3,59.63,58.3
9/4/2013,58.8,878992,58.79,59.2,58.148
9/5/2013,57.51,1253456,58.82,59.16,57.49
9/6/2013,56.92,3070494,57.63,57.67,55.45
9/9/2013,57.03,1269277,57.26,57.46,56.9001
9/10/2013,58.03,1513141,57.46,58.28,57.35
9/11/2013,58.84,1586585,58,59.05,57.93
9/12/2013,59.57,2023430,58.83,59.99,58.63
9/13/2013,59.31,1152270,59.69,59.805,58.75
9/16/2013,59.71,957861,59.96,60.139,59.4701
9/17/2013,59.49,1301528,59.93,60,59.025
9/18/2013,60.48,1740036,59.6,60.73,59.51
9/19/2013,59.08,1617012,60.62,60.636,58.96
9/20/2013,60.73,2086940,59.8,61.01,59.73
9/23/2013,59.88,1559081,60.44,60.92,59.145
9/24/2013,58.44,1415356,59.73,59.79,57.75
9/25/2013,58.05,891897,58.43,58.72,57.84
9/26/2013,56.9,1582844,58.14,58.359,56.77
9/27/2013,56.51,1099576,56.59,56.92,56.25
9/30/2013,55.44,1223106,55.92,56.26,55.25
10/1/2013,55.25,1522184,55.44,55.85,55.01
10/2/2013,55.37,1494039,54.99,55.5,54.7501
10/3/2013,54.39,2740193,55.03,55.39,53.35
10/4/2013,54.12,1563029,54.46,55.01,54.07
10/7/2013,53.46,1364003,53.69,54.41,53.24
10/8/2013,52.58,1803362,53.36,53.5,52.2
10/9/2013,52.75,1600615,52.88,53.25,52.08
10/10/2013,52.69,3257646,52.94,53.07,51.73
10/11/2013,52.95,1664687,52.59,52.97,51.86
10/14/2013,52.58,2270165,52.25,52.64,51.83
10/15/2013,42.91,21666880,44.73,45.13,42.75
10/16/2013,41.48,8324074,43.26,43.3999,41.11
10/17/2013,42.52,6440159,41.23,42.79,41.225
10/18/2013,42.64,3275713,42.74,43.28,42.5
10/21/2013,43.44,3174754,42.86,43.54,42.11
10/22/2013,43.96,3102584,43.86,44.1,43.35
10/23/2013,43.42,2219019,43.87,43.92,43.25
10/24/2013,45.45,3926461,43.28,45.605,42.71
10/25/2013,44.47,2834936,45.42,45.54,44.17
10/28/2013,45.89,2589197,44.59,46.13,44.46
10/29/2013,46.25,3705486,45.32,46.31,44.86
10/30/2013,45.47,5970570,46.39,47.05,44.75
10/31/2013,44.07,4597023,44.64,46.7,43.75
11/1/2013,44,2922933,44.34,44.48,43.57
11/4/2013,43.01,3657758,44.14,44.25,42.8
11/5/2013,42.63,3831807,42.82,43.41,42.345
11/6/2013,42.98,1772212,42.95,43.05,42.72
11/7/2013,43.41,3283000,43.12,44.13,43
11/8/2013,43.5,2031486,43.54,43.73,43.19
11/11/2013,43.79,1790216,43.5,44.05,43.36
11/12/2013,43.93,1288162,43.66,44.07,43.53
11/13/2013,44.95,2300681,43.79,45.075,43.79
11/14/2013,44.8,2374795,44.48,45.07,44.4
11/15/2013,45.59,1821776,45,45.61,44.82
11/18/2013,45.45,1967997,45.88,45.88,45.15
11/19/2013,45.22,2711830,45.27,45.5,45.08
11/20/2013,45.4,2099625,45.26,45.54,45.11
11/21/2013,45.7,1632961,45.44,46,45.3
11/22/2013,45.29,1536165,45.8,45.8,45.17
11/25/2013,45.22,1732892,45.43,45.54,45.02
11/26/2013,45.38,1502536,45.3,45.65,45.02
11/27/2013,45.68,910642,45.38,45.86,45.37
11/29/2013,45.64,381357,45.8,45.901,45.49
12/2/2013,45.81,1681834,45.49,45.94,45.42
12/3/2013,45.35,1640359,45.47,45.77,45.25
12/4/2013,42.53,10007210,43.33,43.92,42
12/5/2013,41.6,3488720,42.49,42.5,41.53
12/6/2013,41.88,3246617,41.84,42.335,41.83
12/9/2013,41.97,2392195,41.96,42.39,41.78
12/10/2013,41.15,3034256,41.84,41.8975,41.14
12/11/2013,40.06,5725283,41.12,41.17,39.83
12/12/2013,39.52,4137587,39.46,39.76,39.16
12/13/2013,40.99,3132933,39.65,41.18,39.52
12/16/2013,41.62,2289385,40.86,41.72,40.81
12/17/2013,41.73,2268617,41.78,42.35,41.46
12/18/2013,41.89,2852076,41.99,41.99,41.19
12/19/2013,42.18,1952964,41.9,42.49,41.89
12/20/2013,44.78,4818649,42.26,44.86,42.26
12/23/2013,44.3,1914659,44.91,45.12,43.905
12/24/2013,44.35,392137,44.28,44.73,44.14
12/26/2013,44.69,1008460,44.26,44.92,44.171
12/27/2013,44.76,1260130,44.82,45.64,44.69
12/30/2013,44.7,1547349,44.51,44.91,44.067
12/31/2013,45.49,1533194,44.82,45.9,44.82
1/2/2014,44.73,2159032,45.33,45.59,44.65
1/3/2014,45.36,1317182,44.96,45.59,44.6
1/6/2014,45.54,1554214,45.6,45.79,45.14
1/7/2014,45.98,2110475,45.55,46.07,45.26
1/8/2014,45.87,2184906,45.83,46.25,45.445
1/9/2014,45.39,1620883,46.04,46.59,45.17
1/10/2014,44.31,2684338,45.84,45.87,43.94
1/13/2014,44.03,2443147,44.46,45.33,43.99
1/14/2014,45.79,2195666,44.35,45.82,44.21
1/15/2014,47.63,4753875,45.96,49.15,45.87
1/16/2014,47.3,1407392,47.33,47.68,46.95
1/17/2014,47.24,1483346,47.31,47.91,46.76
1/21/2014,46.86,1283305,47.3,47.98,46.56
1/22/2014,45.75,2128746,46.89,47.05,45.585
1/23/2014,45,2078297,45.58,45.58,44.74
1/24/2014,43.78,1598250,44.75,44.9399,43.75
1/27/2014,43.4,1312519,43.78,43.91,43.061
1/28/2014,43.9,1401450,43.58,43.97,43.46
1/29/2014,42.07,2839215,42.36,43.01,41.66
1/30/2014,42.13,2826989,42.56,42.65,41.8875
1/31/2014,41.12,3398960,41.34,42.02,40.85
2/3/2014,40,2964810,41.31,41.81,39.77
2/4/2014,40.56,3059282,40.07,41,39.92
2/5/2014,41.06,3433809,40.22,41.21,40.01
2/6/2014,41,10256570,44.38,46.4,40.16
2/7/2014,40.95,5262750,40.37,41.23,39.5
2/10/2014,41.07,2799960,40.95,41.61,40.51
2/11/2014,43.3,4026688,41.72,43.63,41.62
2/12/2014,42.79,2666024,43.29,43.7,42.74
2/13/2014,42.8,1655931,42.56,43.165,42.39
